Station,Year,Month,Day,Latitude,Longitude,Mean Depth,Std. Dev. Depth,Mean Density,Std. Dev. Density
24,1979,3,19,80.7,148.4,32.32,12.916,0.322,0.0083666
24,1980,11,20,NaN,NaN,23.96,11.579,0.314,0.027928
25,1981,6,10,76.1645,168.66,17.12,10.973,0.33,0.031972
25,1981,9,20,76.47525,165.875,14.34,3.0919,0.176,0.012649
25,1981,10,20,77.528,161.29,14.91,5.286,0.278,0.0078881
25,1981,11,20,78.208,164.37,20.42,9.682,0.298,0.058271
25,1981,12,20,79.093,162.6,22.36,5.9093,0.305,0.0417
25,1982,1,20,79.868,162.69,22.39,6.1363,0.306,0.04274
25,1982,2,20,81.19,163.25,23.85,5.3548,0.35,0.02582
25,1982,3,20,81.08,165.39,23.91,7.6079,0.348,0.030111
25,1982,4,20,81.743,163.83,22.15,4.8082,0.352,0.013166
25,1982,9,20,85.25675,171.165,18.34,9.0184,0.294,0.039115
25,1982,10,20,85.32857143,-177.1928571,32.94,12.295,0.308,0.0083666
25,1982,11,20,84.89333333,-169.1033333,36.16,11.809,0.302,0.013038
25,1982,12,20,84.89133333,-160.62,35.52,12.209,0.306,0.0054772
25,1983,1,20,84.7925,-155.44,33.16,11.657,0.32,0.01
25,1983,2,20,85.0675,-147.51,35.52,13.033,0.302,0.019235
25,1983,3,20,84.0525,-143.03,34.7,14.109,0.346,0.032094
25,1983,4,20,84.19466667,-141.8733333,36.82,13.474,0.324,0.020736
25,1983,9,20,85.778,-138.04,19.94,13.944,0.282,0.037014
25,1983,9,30,85.79425,-139.3825,26.42,14.909,0.262,0.031145
25,1983,10,10,85.7235,-143.79,27.88,15.019,0.28,0.031623
25,1983,10,20,85.612,-140.55,27.92,14.734,0.276,0.043932
25,1983,10,31,86.011,-136.43,31.6,16.037,0.296,0.026077
25,1983,11,10,86.073,-135.71,32.34,16.172,0.31,0.012247
25,1983,11,20,86.173,-133.69,32.46,16.947,0.316,0.016733
25,1983,11,30,86.085,-133.86,33.96,15.918,0.318,0.0083666
25,1983,12,10,85.737,-133.06,33.28,16.947,0.318,0.022804
25,1983,12,20,85.7275,-128.82,35.24,16.429,0.318,0.016432
25,1983,12,30,85.736,-127.5333333,35.48,16.442,0.322,0.013038
25,1984,1,10,85.715,-127.19,38.76,17.508,0.328,0.0083666
25,1984,1,20,85.69275,-127.17,39.36,18.037,0.336,0.015166
25,1984,1,30,85.702,-126.655,40.48,18.159,0.34,0.01
25,1984,2,10,85.68,-126.74,40.52,17.829,0.338,0.021679
25,1984,2,20,85.604,-124.535,42.86,18.094,0.352,0.017889
25,1984,2,29,85.59625,-124.125,42.58,18.142,0.352,0.021679
25,1984,3,10,85.55425,-122.7225,44.28,18.308,0.35,0.015811
25,1984,3,20,85.587,-122.26,44.32,18.387,0.354,0.015166
26,1983,6,10,NaN,NaN,26.06,16.808,0.31,0.045277
26,1983,6,20,NaN,NaN,26.02,15.062,0.332,0.030332
26,1983,6,31,NaN,NaN,22.96,12.667,0.374,0.086487
26,1983,9,11,79.277,178.74,15.66,8.3973,0.266,0.029665
26,1983,9,20,79.135,176.56,17.98,9.518,0.246,0.018166
26,1983,9,30,79.18,176.99,17.1,8.2986,0.336,0.035071
26,1983,10,10,79.143,178.58,17.68,8.7445,0.336,0.032094
26,1983,10,20,79.07,177.18,17.86,8.0407,0.34,0.04
26,1983,10,31,79.025,174.42,18.06,8.1426,0.346,0.036469
26,1983,11,12,79.533,176.45,21.56,10.426,0.328,0.0044721
26,1983,11,20,79.447,175.89,22.56,10.541,0.32,0.01
26,1983,11,30,79.357,176.37,23,9.9837,0.328,0.010954
26,1983,12,10,79.907,178.78,22.94,9.2789,0.338,0.0083666
26,1983,12,21,80.457,178.26,24.9,9.4074,0.324,0.011402
26,1983,12,31,80.457,175.8,25.48,10.955,0.3,0.017321
26,1984,1,10,80.547,175.6,26.12,11.233,0.298,0.014832
26,1984,1,20,80.653,176.08,26.26,11.87,0.314,0.018166
26,1984,1,31,80.54,175.36,28.88,13.152,0.306,0.0054772
26,1984,2,13,79.958,172.45,37.7,16.746,0.31,0.054772
26,1984,2,23,79.842,174.19,37.6,14.326,0.332,0.017889
26,1984,2,29,79.735,172.54,37.82,14.767,0.326,0.0054772
26,1984,3,10,79.92,171.75,37.46,16.876,0.334,0.011402
26,1984,3,20,80.097,172.78,39.26,18.099,0.338,0.0083666
26,1984,3,31,80.225,172.43,41.54,15.681,0.342,0.014832
26,1985,1,20,NaN,NaN,NaN,NaN,0.342,0.016432
26,1985,2,20,NaN,NaN,NaN,NaN,0.342,0.017889
26,1985,8,21,NaN,NaN,11.54,3.4771,0.194,0.015166
26,1985,9,22,NaN,NaN,17.84,7.6701,0.29,0.033166
26,1985,10,20,NaN,NaN,25.92,12.432,0.324,0.016733
